protocol,domain_name,address,long_url,having_@_symbol,redirection_//_symbol,prefix_suffix_seperation,sub_domains,having_ip_address,shortening_service,https_token,abnormal_url,domain_registration_length,age_of_domain,dns_record,statistical_report
http,www.liquidgeneration.com,,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.onlineanime.org,,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.ceres.dti.ne.jp,~nekoi/senno/senfirst.html,0,0,0,0,1,0,0,1,1,1,1,1,1
http,www.galeon.com,kmh/,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.fanworkrecs.com,,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.animehouse.com,,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www2.117.ne.jp,~mb1996ax/enadc.html,0,0,0,0,2,0,0,1,1,1,1,1,1
http,archive.rhps.org,fritters/yui/index.html,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.freecartoonsex.com,,0,0,0,0,0,0,1,1,1,1,1,1,1
http,www.cutepet.org,,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.taremeparadise.com,,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.internetdump.com,users/pornographite/index1.html,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.iei.net,~bkos1/velneko.htm,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www9.kinghost.com,fetish/hentaibee/,0,0,0,0,0,0,1,1,1,1,1,1,1
http,www.jasonmeador.com,,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.geocities.com,kaseychan17/index.html,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.angelfire.com,journal/coldlemonade/index.html,0,0,0,0,0,0,0,1,1,1,1,1,1
http,e.webring.com,hub?sid=&amp;ring=hentff98&amp;id=&amp;list,0,0,0,0,0,0,0,1,1,1,1,1,1
http,j-heaven.tripod.com,library.htm,0,0,0,1,0,0,0,1,1,1,1,1,1
http,www.angelfire.com,poetry/nicolesstories/,0,0,0,0,0,0,0,1,1,1,1,1,1
http,thesheeparecoming.tripod.com,papercrane/,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.geocities.com,eddie_monsoon2002/,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.shokushu.com,,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.geocities.com,timessquare/arcade/7810/p_hgames.htm,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.hentaisocialclub.com,ganguro/index.html,0,0,0,0,0,0,0,1,1,1,1,1,1
http,ryogamasaki.netfirms.com,,0,0,0,0,0,0,0,1,1,1,1,1,1
http,members.tripod.com,~chaz16/3.html,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.hentai-comics.com,,0,0,0,1,0,0,0,1,1,1,1,1,1
http,www.jastusa.com,,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.peachprincess.com,,0,0,0,0,0,0,0,1,1,1,1,1,1
http,www.hentai-games.com,,0,0,0,1,0,0,0,1,1,1,1,1,1
